SERIAL_NO,년도,행정구역코드,주차장명,소재지,환승수단,주차장형식,주차급지,주차면수,일반주차요금,환승주차요금,운영기관,자료기준일,위도,경도
1612000011,2020,1102000,운 서 역,인천광역시 중구 운서동 2807-1,공항철도,2,3,30,200원/15분,,인천시설공단,2019-09-18,37.4928447,126.4936663
1612000027,2020,1102000,도 원 역,인천광역시 중구 도원동 5-7,1호선,2,3,0,0,,인천시설공단,2019-09-18,37.46703827,126.6415384
1612000138,2020,1102000,도원역공영주차장,인천광역시 중구 도원동 5-7,1호선,2,,0,0,,인천광역시,2019-05-31,37.46708032,126.6415959
1612000173,2020,1102000,영종역남부공영주차장,인천광역시 중구 운북동 464,공항철도,2,3,30,500원/15분,,인천광역시 중구청,2019-05-31,37.51131018,126.521895
1642000008,2020,2304000,연수역북부공영주차장,인천광역시 연수구 연수동 587,수인선,2,2,30,300원/15분,,인천광역시 연수구 시설안전관리공단,2019-09-10,37.4192007,126.6770341
1642000009,2020,2304000,연수역남광장주차장,인천광역시 연수구 연수동 591-2 외2,수인선,2,,0,0,,인천광역시 연수구청,2019-09-10,37.41702451,126.6795014
1642000010,2020,2304000,연수역남부공영주차장,인천광역시 연수구 청학동 466 외2,수인선,2,2,30,300원/15분,,인천광역시 연수구 시설안전관리공단,2019-09-10,37.4190089,126.6761631
1642000020,2020,2304000,원인재역 주차장(환승주차장),인천광역시 연수구 연수동 585외 2,"인천1호선, 수인선",2,2,0,0,,한국철도공사,2019-09-10,37.4213451,126.6831881
1642000021,2020,2304000,연수역 주차장(환승주차장),인천광역시 연수구 연수동 587-1외 1,수인선,2,2,30,400원/15분,,한국철도공사,2019-09-10,37.4185747,126.6781826
1642000022,2020,2304000,송도역 주차장(환승주차장),인천광역시 연수구 옥련동 293-1외 11,수인선,2,2,30,300원/15분,,한국철도공사,2019-09-10,37.4292184,126.6548471
1662000007,2020,2306000,갈산역,인천광역시 부평구 갈산동 192번지 일원,"인천1호선, 수인선",2,2,30,300원/15분,,인천광역시 부평구시설관리공단,2019-09-16,37.5159563,126.7220297
1662000008,2020,2306000,부평구청역,인천광역시 부평구 부평동 52-45번지 일원,"7호선, 인천1호선",2,2,30,300원/15분,,인천광역시 부평구시설관리공단,2019-09-16,37.5042741,126.7180036
1662000013,2020,2306000,동암역북광장,인천광역시 부평구 십정동 528,1호선,2,1,30,200원/15분,,인천시설공단,2019-09-18,37.47114567,126.7018233
1662000020,2020,2306000,부개역,인천광역시 부평구 부개동 206-1,1호선,2,3,30,200원/15분,,인천시설공단,2019-09-18,37.48937956,126.7396121
1662000036,2020,2306000,남부역1길,인천광역시 부평구 부평동 610-3번지 일원,"1호선, 인천1호선",2,,0,0,,인천광역시 부평구시설관리공단,2019-09-16,37.4878725,126.7281473
1662000052,2020,2306000,부평삼거리역,인천광역시 부평구 십정동 576-9번지 일원,인천1호선,2,3,30,200원/15분,,인천광역시 부평구시설관리공단,2019-09-16,37.4775567,126.7096235
1662000055,2020,2306000,백운역북광장,인천광역시 부평구 십정동 173-11번지 일원,1호선,2,2,30,300원/15분,,인천광역시 부평구시설관리공단,2019-09-16,37.4839258,126.7072945
1671000005,2020,2307000,작전역 동쪽(북측),인천광역시 계양구 작전동885,인천1호선,1,2,30,300원/15분,,인천광역시 계양구 시설관리공단,2019-08-28,37.53073548,126.7254192
1671000006,2020,2307000,작전역 동쪽(남측),인천광역시 계양구 작전동887,인천1호선,1,2,30,300원/15분,,인천광역시 계양구 시설관리공단,2019-08-28,37.52999004,126.7256708
1671000007,2020,2307000,작전역 환승 동쪽(북측),인천광역시 계양구 작전동 885,인천1호선,1,2,30,300원/15분,,인천광역시계양구시설관리공단,2020-02-01,37.53067988,126.7239826
1671000008,2020,2307000,작전역 환승 동쪽(남측),인천광역시 계양구 작전동 887,인천1호선,1,2,30,300원/15분,,인천광역시계양구시설관리공단,2020-02-01,37.53004219,126.7238831
1671000009,2020,2307000,작전역 환승 서쪽(남측),인천광역시 계양구 작전동 877,인천1호선,1,2,30,300원/15분,,인천광역시계양구시설관리공단,2020-02-01,37.53009577,126.7217588
1671000010,2020,2307000,작전역 환승 서쪽(북측),인천광역시 계양구 작전동 876,인천1호선,1,2,30,300원/15분,,인천광역시계양구시설관리공단,2020-02-01,37.53069485,126.7217254
1672000003,2020,2307000,경인교대 환승,인천광역시 계양구 계산동 969-9,인천1호선,2,2,30,300원/15분,,인천광역시계양구시설관리공단,2020-02-01,37.53842575,126.7220599
1675000001,2020,2307000,인천교통공사 계양역 부설주차장,인천광역시 계양구 귤현동 451-264,"인천1호선, 공항철도",3,3,10,300원/10분,,인천교통공사,2019-12-10,37.57161081,126.7360229
2002000004,2020,3101100,성대환승,경기도 수원시 장안구 율전동 230-2,1호선,2,2,30,150원/10분,,경기도 수원시 시설관리공단,2019-06-28,37.3011121,126.9716322
2012000003,2020,3101200,세류역환승,경기도 수원시 권선구 장지동 44-10,1호선,2,2,30,150원/10분,,경기도 수원시 시설관리공단,2019-06-28,37.2433621,127.0144673
2012000005,2020,3101200,수원역환승,경기도 수원시 권선구 서둔동 296-84,"1호선, 분당선",2,1,30,200원/10분,,수원도시공사,2019-06-28,37.26568578,126.9987869
2022000006,2020,3101300,꽃뫼환승,경기도 수원시 팔달구 화서동 689-1,1호선,2,2,30,200원/10분,,수원도시공사,2019-06-28,37.28503754,126.9862829
2022000015,2020,3101300,화서환승,경기도 수원시 팔달구 화서동 643,1호선,2,2,30,200원/10분,,수원도시공사,2019-06-28,37.2855501,126.9907526
2042000009,2020,3102100,산성역 환승,경기도 성남시 수정구 수정로366번길 7,8호선,2,1,30,200원/10분,,성남도시개발공사 노외주차처,2019-03-15,37.45666153,127.1507202
2062000002,2020,3102300,야탑 제1환승,경기도 성남시 분당구 성남대로 920,분당선,2,1,30,200원/10분,,성남도시개발공사 노외주차처,2019-03-15,37.41206876,127.1291734
2062000003,2020,3102300,야탑 제2환승,경기도 성남시 분당구 성남대로 919,분당선,2,1,30,200원/10분,,성남도시개발공사 노외주차처,2019-03-15,37.4117563,127.1281653
